order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
21c362b5b414c727c47d29ae5a653c3e,b712314e68a48b96b83d96ada0c91173,delivered,2018-03-11 21:44:41,2018-03-13 03:50:40,2018-03-13 21:05:46,2018-03-21 15:12:21,2018-04-09 00:00:00,1,cb3268665690f13e15913631c0ccc4a2,15aac934c58d886785ac1b17953ea898,2018-03-19 03:50:40,29.0,18.23,moveis_sala,58.0,510.0,2.0,400.0,25.0,20.0,25.0,06788e14791d9515f4daf36f31f92f97,38840,carmo do paranaiba,MG
05d6faf8d3942006edf7cbc669faa965,9d70473610a913bc6ae8b9b52c35459b,delivered,2017-09-10 18:16:43,2017-09-10 18:30:18,2017-09-11 21:23:06,2017-09-18 16:48:26,2017-10-06 00:00:00,1,37d2e3656244fd840ebd0460360455cd,dbc22125167c298ef99da25668e1011f,2017-09-14 18:30:18,40.9,17.92,papelaria,36.0,215.0,1.0,700.0,45.0,10.0,31.0,7d98b79446c0ebb0efc2acd85cf76559,29770,mantenopolis,ES
88ce2e58fa5ec79842004f87fe6a5c80,6f7daff9ce365b020be3e3bfa5ea27d3,delivered,2017-08-07 03:53:33,2017-08-08 04:15:23,2017-08-17 19:37:44,2017-08-28 18:35:36,2017-09-20 00:00:00,1,6a23c2eb9acc78f8ec403be9c6210dd4,7c67e1448b00f6e969d365cea6b010ab,2017-08-18 04:15:23,129.94,19.0,moveis_escritorio,54.0,1094.0,1.0,7513.0,53.0,62.0,26.0,4fac6cc7c89a2996e9c2312c294b4fca,38470,grupiara,MG
7aec44a29db806091272db5aeb0007d4,b1cab246c245455519a3cd45d8d5b3da,delivered,2018-03-15 19:54:03,2018-03-15 20:08:26,2018-03-20 00:16:34,2018-04-02 20:08:36,2018-04-13 00:00:00,3,81d34fb425382e189529a619f8f2c077,6338ea67c41078a46ad99cc009654956,2018-03-21 20:08:26,11.9,18.23,automotivo,55.0,583.0,1.0,200.0,24.0,18.0,18.0,0e8c2ba61e0ba9974d977dd797e422d8,11380,sao vicente,SP
74f1a239af663d84eff6f108b68386c6,14ef2be9e656abe8c28f416025221fb5,delivered,2018-05-27 12:30:34,2018-05-27 12:55:39,2018-05-29 12:18:00,2018-06-19 23:18:27,2018-07-13 00:00:00,1,bb50f2e236e5eea0100680137654686c,f7ba60f8c3f99e7ee4042fdef03b70c4,2018-06-04 12:55:39,330.0,19.94,beleza_saude,60.0,2644.0,6.0,400.0,34.0,4.0,22.0,7c4d21b24f821267af3f2fe761629772,44950,uibai,BA
dcccbd535ac6be4884373971fe2cf444,e6d0d8939fd2b135b3911efed6934b0c,delivered,2018-01-28 01:44:56,2018-01-28 02:01:45,2018-01-30 01:03:55,2018-02-15 21:53:18,2018-03-02 00:00:00,1,629e019a6f298a83aeecc7877964f935,c003204e1ab016dfa150abc119207b24,2018-02-01 02:01:45,114.9,21.64,automotivo,57.0,1166.0,5.0,1750.0,30.0,30.0,30.0,b3ae3171281986b8e1a4cc74983e17f7,94960,cachoeirinha,RS
5f57d407fe28bd1e4601d998f6caa58e,793c772a9aed291ade39bba058b49358,delivered,2018-04-26 18:00:43,2018-04-26 18:15:12,2018-04-27 13:08:00,2018-05-11 19:06:05,2018-05-23 00:00:00,1,797cb0efc72192071fc68eb90ce7dd62,0417b067eeab773d2f7061a726dc477f,2018-05-03 18:15:12,109.99,40.84,automotivo,55.0,189.0,3.0,5900.0,105.0,17.0,19.0,e603b5ee1479cd04670e612bd2efc91e,35240,conselheiro pena,MG
588c0e3b460d83b9cd8a270edc0f4da0,6c8a03b35eb1de3c0012232b0ff0522d,delivered,2017-11-07 12:44:04,2017-11-08 13:55:55,2017-11-13 14:24:35,2017-12-08 17:44:54,2017-12-05 00:00:00,3,35557c68a22ecebcf066e25ca2ddc144,f8db351d8c4c4c22c6835c19a46f01b0,2017-11-14 13:55:25,16.9,34.15,ferramentas_jardim,50.0,741.0,3.0,300.0,17.0,7.0,12.0,700a5f7e65dfd8b3fb6be10dff7e1065,65306,santa ines,MA
538e58df1e2da6715870a4cbb42a1b4e,333b7d62978a1cdcc338e2545aeea45f,delivered,2017-11-21 11:54:47,2017-11-21 12:31:30,2017-11-22 17:03:50,2017-11-24 23:09:13,2017-12-15 00:00:00,3,dac245c10d9ccd0f3dd3b14f4b7c4b7f,3361277dc30b7cccdb0c286b24219756,2017-12-01 12:30:50,14.99,12.48,utilidades_domesticas,38.0,506.0,2.0,150.0,30.0,18.0,18.0,eb15cc694c96c23d5d5049fe290a0202,1229,sao paulo,SP
e16532416e7fa0b226f67cb0a05696c2,acc7d23ec27f4666d82e72a78fe6cae8,delivered,2017-12-09 22:15:11,2017-12-11 23:36:41,2018-01-26 19:03:46,2018-02-23 19:04:39,2018-01-26 00:00:00,1,c04e948c6900ce99ac47d89b3b6d70cd,855668e0971d4dfd7bef1b6a4133b41b,2017-12-27 23:36:41,950.0,132.51,cool_stuff,33.0,1401.0,2.0,30000.0,70.0,37.0,70.0,1c29d6a67b493c85043b7252908b095a,97670,sao borja,RS
